Model,Year,Brand,Kms_driven,Price
Yamaha YZF R15,2017,Yamaha,40000,75000 
Royal Enfield Classic 350,2020,Royal Enfield,7600,160000 
Royal Enfield Classic 350,2020,Royal Enfield,7600,160000 
Royal Enfield Thunderbird 350,2016,Royal Enfield,60000,120000 
KTM 390 Duke ABS,2015,KTM,32000,100000 
Bajaj Dominar 400,2017,Bajaj,25000,100000 
Royal Enfield Bullet Electra,2009,Royal Enfield,16652,48000 
Royal Enfield Bullet Electra,2009,Royal Enfield,16652,48000 
Honda Navi,2018,Honda,12000,30000 
Bajaj Pulsar 180,2011,Bajaj,45000,16000 
Bajaj Platina 100,2010,Bajaj,40000,35000 
TVS Star Sport,2011,TVS,22500,30000 
Bajaj Platina 100,2020,Bajaj,20000,55000 
YO Bikes Yo Smart,2022,YO Bikes,0,56000 
Bajaj Pulsar 150 DTS,2018,Bajaj,7015,60000 
Royal Enfield Classic 350,2017,Royal Enfield,30000,120000 
Suzuki Access 125 Disc,2012,Suzuki,23000,18000 
Royal Enfield Himalayan,2016,Royal Enfield,9200,115000 
Bajaj Pulsar 200 NS,2013,Bajaj,14000,65000 
Hero Xtreme 200R,2021,Hero,16000,99999 
Royal Enfield Classic 350,2014,Royal Enfield,75000,75000 
Bajaj Avenger,2018,Bajaj,27256,65000 
Bajaj Avenger,2017,Bajaj,18000,55000 
Hero Splendor iSmart,2015,Hero,12100,50000 
Bajaj Pulsar 200 NS,2014,Bajaj,19000,60000 
Honda Activa 4G,2018,Honda,5100,50000 
Bajaj Discover 100 T,2014,Bajaj,50000,21000 
TVS Apache RTR 200,2021,TVS,8000,125000 
Royal Enfield Bullet 350,2022,Royal Enfield,5000,165000 
Bajaj Discover 100 M,2014,Bajaj,39000,19500 
Hero Xtreme 200R,2019,Hero,2500,62000 
Hero Xtreme 200R,2019,Hero,14000,62000 
Hero Glamour,2010,Hero,50000,21000 
Royal Enfield Classic 350,2021,Royal Enfield,2500,210000 
Royal Enfield Classic 350,2021,Royal Enfield,2500,210000 
Bajaj Pulsar 150,2013,Bajaj,51000,32000 
Hero Hunk,2011,Hero,30000,25999 
Bajaj Discover 125,2013,Bajaj,6000,29999 
Royal Enfield Thunderbird 350,2014,Royal Enfield,20000,85000 
Bajaj Vikrant V15,2016,Bajaj,29500,29500 
Hero Splendor iSmart,2017,Hero,19000,35000 
Royal Enfield Classic 350,2017,Royal Enfield,19000,100000 
Royal Enfield Classic 350,2017,Royal Enfield,19000,100000 
Yamaha SZ R,2012,Yamaha,18500,
TVS Apache RTR 180,2014,TVS,36018,41000 
Yamaha Saluto,2016,Yamaha,18000,28000 
TVS Jupiter,2019,TVS,7000,59000 
