Model,Year,Brand,Kms_driven,Fuel_type,Price
Maruti Suzuki Ignis,2018,Maruti,33781, Petrol ,458199
Maruti Suzuki Alto,2018,Maruti,10962, Petrol ,350599
Maruti Suzuki Wagon,2013,Maruti,76250, Petrol ,327299
Ford Ecosport,2016,Ford,52555, Petrol ,655399
Toyota Corolla Altis,2016,Toyota,59790, Petrol ,873799
Honda Amaze,2016,Honda,16198, Petrol ,566599
Hyundai Creta,2018,Hyundai,44614, Petrol ,1136299
Maruti Suzuki Vitara,2016,Maruti,66152, Diesel ,765099
Maruti Suzuki Swift,2013,Maruti,55244, Diesel ,511499
Maruti Suzuki SX4,2012,Maruti,80000, Diesel ,425000
Hyundai Creta,2021,Hyundai,12243, Petrol,1525000
Datsun RediGo,2017,Datsun,21753, Petrol,250000
Mahindra TUV300 T6,2017,Mahindra,163000, Diesel ,575000
Toyota Innova 2.5,2012,Toyota,160000, Diesel,1250000
Honda City,2017,Honda,36357, Petrol,725000
Toyota Innova 2.5,2012,Toyota,160000, Diesel ,1250000
Renault Duster 110,2013,Renault,99000, Diesel,442000
Honda WR V,2021,Honda,3306, Petrol ,947699
Hyundai Xcent,2014,Hyundai,61977, Petrol ,464099
Hyundai Grand i10,2015,Hyundai,89851, Diesel ,371599
Ford Ecosport,2020,Ford,18991, Petrol ,1046999
Maruti Suzuki Wagon,2018,Maruti,7256, Petrol ,472399
Maruti Suzuki Wagon,2020,Maruti,9063, Petrol ,643699
Maruti Suzuki Wagon,2010,Maruti,67081, Petrol ,196899
Tata Harrier,2020,Tata,13451, Diesel ,1919899
Toyota Yaris VX,2018,Toyota,36718, Petrol ,1124399
Hyundai Creta,2019,Hyundai,31599, Petrol ,1254499
Hyundai Santro,2018,Hyundai,9185, Petrol ,446599
Hyundai Verna,2018,Hyundai,29700, Diesel ,952699
Maruti Suzuki Ciaz,2017,Maruti,31197, Petrol ,599399
Maruti Suzuki Swift,2018,Maruti,94365, Petrol ,553199
Maruti Suzuki Wagon,2014,Maruti,71034, Petrol + CNG ,329899
Hyundai i10 Sportz,2014,Hyundai,27294, Petrol ,332999
Mahindra NuvoSport N6,2017,Mahindra,70619, Diesel,499000
Toyota Corolla Altis,2010,Toyota,99000, Petrol,299000
Mercedes Benz C,2003,Mercedes,87999, Petrol,222000
Maruti Suzuki Swift,2010,Maruti,74588, CNG,299000
Mercedes Benz S,2010,Mercedes,67509, Diesel,922000
Honda City 1.5,2010,Honda,74503, Petrol,299000
Skoda Laura Ambition,2011,Skoda,81000, Petrol,266000
Mercedes Benz E,2016,Mercedes,36000, Petrol ,2150000
Maruti Suzuki Celerio,2019,Maruti,50527, Petrol + CNG ,490199
Kia Seltos,2020,Kia,28696, Diesel ,1409499
Maruti Suzuki Celerio,2018,Maruti,18231, Petrol ,442199
Maruti Suzuki Wagon,2014,Maruti,67352, Petrol + CNG ,314599
Maruti Suzuki Wagon,2017,Maruti,29092, Petrol ,417199
Honda Jazz,2020,Honda,11909, Petrol ,1005599
Maruti Suzuki Swift,2014,Maruti,39523, Petrol ,416499
Tata Nexon,2018,Tata,52794, Diesel ,854699
Maruti Suzuki Alto,2015,Maruti,31522, Petrol ,279499
Maruti Suzuki S,2021,Maruti,10909, Petrol ,435899
Jeep Compass,2017,Jeep,47352, Diesel ,1196599
Hyundai Santro,2019,Hyundai,7241, Petrol ,468899
Maruti Suzuki Dzire,2018,Maruti,71619, Petrol ,594299
Hyundai Elite i20,2020,Hyundai,60065, Petrol ,707999
Maruti Suzuki S,2020,Maruti,29918, Petrol + CNG ,501499
Hyundai Creta,2018,Hyundai,88168, Diesel ,828549
Volkswagen Polo Trendline,2011,Volkswagen,75000, Diesel ,265000
Tata Zest XM,2015,Tata,75000, Petrol,299000
Toyota Fortuner 3.0,2013,Toyota,107000, Diesel ,1525000
Maruti Suzuki Swift,2020,Maruti,14000, Petrol ,735000
Skoda Kodiaq,2022,Skoda,160, Petrol ,4400000
Toyota Corolla Altis,2015,Toyota,50000, Petrol ,950000
Hyundai Santa Fe,2012,Hyundai,126000, Diesel ,775000
Mercedes Benz CLA,2018,Mercedes,24000, Diesel ,2800000
Maruti Suzuki Swift,2017,Maruti,82679, Diesel ,452799
Maruti Suzuki Wagon,2017,Maruti,16806, Petrol ,447599
Maruti Suzuki Ignis,2017,Maruti,6251, Petrol ,523799
MG Motors Hector,2020,MG,38919, Petrol ,1655999
Hyundai EON Magna,2018,Hyundai,32876, Petrol ,400599
Hyundai Grand i10,2019,Hyundai,44175, Petrol + CNG ,541599
Maruti Suzuki Ciaz,2018,Maruti,80889, Petrol ,819999
Maruti Suzuki Dzire,2020,Maruti,17867, Petrol ,710299
Maruti Suzuki Wagon,2014,Maruti,20293, Petrol ,392699
Hyundai Grand i10,2017,Hyundai,48686, Petrol ,604799
Hyundai Grand i10,2019,Hyundai,18128, Petrol ,571199
Maruti Suzuki S,2020,Maruti,5130, Petrol ,562499
Hyundai Grand i10,2018,Hyundai,53790, Petrol ,499799
Hyundai Grand i10,2016,Hyundai,32364, Petrol ,508099
Maruti Suzuki Wagon,2018,Maruti,27328, Petrol ,454299
Hyundai Creta,2016,Hyundai,32524, Petrol ,959099
Mercedes Benz C,2018,Mercedes,36000, Diesel ,3150000
Mercedes Benz C,2011,Mercedes,75000, Diesel ,1190000
BMW X1 sDrive20d,2011,BMW,135000, Diesel ,1170000
Tata ALTROZ XZ,2022,Tata,9000, Petrol,875000
Mercedes Benz E,2016,Mercedes,36000, Petrol ,2150000
BMW 3 Series,2015,BMW,61000, Diesel ,1850000
BMW 3 Series,2020,BMW,14000, Diesel ,4400000
